time,bank_rad,pitch_rad,heading_deg,agent_n_m,agent_e_m,agent_up_m,foe_n_m,foe_e_m,foe_up_m,foe_roll_deg,foe_pitch_deg,foe_yaw_deg
2775.700000001682,0.8029025477028805,1.019702721065029,198.82568269496218,598.0961509167796,-3844.2237515794095,7213.121084845788,-2102.3414652512515,-4487.809045912008,7453.825023080037,62.800217394858365,0.3725099932316263,251.88929839232614
2775.8000000016805,0.9149448569583801,1.412853409429666,199.97188148284778,569.789149822995,-3853.5171547028926,7209.452887681943,-2112.068229132476,-4516.288185820819,7452.839203754345,63.162997482915344,0.369749230398619,252.1764949511859
2775.900000001679,1.0022940915129306,1.652416062383175,201.21972057293496,541.5471695626097,-3863.1309652368864,7206.011930061079,-2121.6381579659906,-4544.824763262638,7451.857438721064,63.532160913346374,0.3656082975666506,252.46644758758788
2776.0000000016776,1.0873768547684122,1.786199085236243,202.53450417006286,513.3805421650505,-3873.0676079828772,7202.747289900649,-2131.0516713363163,-4573.417531454082,7450.878076459453,63.905227589664825,0.36020833639092203,252.75940978553922
2776.100000001676,1.160960408141901,1.795852999872216,203.86690172621925,485.3216178818076,-3883.372809839227,7199.651737740952,-2140.3089998825903,-4602.065309897947,7449.899565255315,64.28000558506552,0.3536437997936425,253.05561136352605
2776.2000000016747,1.2399578811538339,1.6876646900879808,205.22122877973473,457.3702751199366,-3894.036644407501,7196.6783766375665,-2149.4101824893864,-4630.7669788316025,7448.920456170246,64.65437622593487,0.3460084628927822,253.35524602647774
2776.300000001673,1.2697655299513102,1.6181703949437316,206.5028403237369,429.57503862275166,-3905.123035746885,7193.818936220715,-2158.355081904155,-4659.5214721794655,7447.939399122003,65.02635589840361,0.33737619899209875,253.6584872755912
2776.4000000016717,1.2628973968784303,1.5317993301650843,207.73580274274087,401.97983241983286,-3916.68226932619,7191.080888262481,-2167.1433821980772,-4688.327772367197,7446.955144450308,65.39400101085079,0.32782844137619566,253.96547108539326
2776.5000000016703,1.2319748469887215,1.3721751342390855,208.59250664516682,374.58286323752515,-3928.704185520486,7188.458094416839,-2175.7745896324045,-4717.184904355797,7445.966545839546,65.75490518296432,0.31744231655766575,254.27631048487441
2776.600000001669,1.168479070031956,1.0853862268648524,208.79374229936798,347.39000460523573,-3941.1829131116892,7185.962627762497,-2184.2480659784064,-4746.091928532039,7444.972548536012,66.10712835164516,0.3062749274272904,254.5910999449615
2776.7000000016674,1.0762958472498887,1.129203136844913,209.5514027962154,320.4089824811664,-3954.099039978688,7183.620571001771,-2192.5630350256756,-4775.047935636926,7443.972188420231,66.44913147604522,0.2943848187586758,254.90990688773581
